Movie_ID,Title,Genre,Release_Year,Rating,Views,Reviews,Runtime,Director,Language,Description,Image
1,Inception,Sci-Fi,2010,8.8,420,15200,148,C. Nolan,English,"A sci-fi film from 2010, directed by C. Nolan, exploring bold ideas with a 8.8 rating on Cinemora.",inception.jpg
2,Interstellar,Sci-Fi,2014,8.7,510,18300,169,C. Nolan,English,"A sci-fi film from 2014, directed by C. Nolan, exploring bold ideas with a 8.7 rating on Cinemora.",interstellar.jpg
3,Dune,Sci-Fi,2021,8.0,380,12100,155,D. Villeneuve,English,"A sci-fi film from 2021, directed by D. Villeneuve, exploring bold ideas with a 8.0 rating on Cinemora.",dune.jpg
4,Dune: Part Two,Sci-Fi,2024,8.5,340,9900,166,D. Villeneuve,English,"A sci-fi film from 2024, directed by D. Villeneuve, exploring bold ideas with a 8.5 rating on Cinemora.",dune_part_two.jpg
5,The Dark Knight,Action,2008,9.0,610,21000,152,C. Nolan,English,"A action film from 2008, directed by C. Nolan, exploring bold ideas with a 9.0 rating on Cinemora.",the_dark_knight.jpg
6,Oppenheimer,Drama,2023,8.4,400,13500,180,C. Nolan,English,"A drama film from 2023, directed by C. Nolan, exploring bold ideas with a 8.4 rating on Cinemora.",oppenheimer.jpg
7,Parasite,Thriller,2019,8.6,290,11200,132,Bong Joon-ho,Korean,"A thriller film from 2019, directed by Bong Joon-ho, exploring bold ideas with a 8.6 rating on Cinemora.",parasite.jpg
8,The Grand Budapest Hotel,Comedy,2014,8.1,180,6400,99,W. Anderson,English,"A comedy film from 2014, directed by W. Anderson, exploring bold ideas with a 8.1 rating on Cinemora.",the_grand_budapest_hotel.jpg
9,Whiplash,Drama,2014,8.5,220,8100,106,D. Chazelle,English,"A drama film from 2014, directed by D. Chazelle, exploring bold ideas with a 8.5 rating on Cinemora.",whiplash.jpg
10,La La Land,Drama,2016,8.0,260,9200,128,D. Chazelle,English,"A drama film from 2016, directed by D. Chazelle, exploring bold ideas with a 8.0 rating on Cinemora.",la_la_land.jpg
11,Mad Max: Fury Road,Action,2015,8.1,350,10400,120,G. Miller,English,"A action film from 2015, directed by G. Miller, exploring bold ideas with a 8.1 rating on Cinemora.",mad_max_fury_road.jpg
12,Joker,Drama,2019,8.4,470,16800,122,T. Phillips,English,"A drama film from 2019, directed by T. Phillips, exploring bold ideas with a 8.4 rating on Cinemora.",joker.jpg
13,Get Out,Thriller,2017,7.7,210,7300,104,J. Peele,English,"A thriller film from 2017, directed by J. Peele, exploring bold ideas with a 7.7 rating on Cinemora.",get_out.jpg
14,Everything Everywhere All at Once,Adventure,2022,7.8,190,6900,139,Daniels,English,"A adventure film from 2022, directed by Daniels, exploring bold ideas with a 7.8 rating on Cinemora.",everything_everywhere_all_at_once.jpg
15,Spider-Man: Into the Spider-Verse,Animation,2018,8.4,330,10900,117,P. Ramsey,English,"A animation film from 2018, directed by P. Ramsey, exploring bold ideas with a 8.4 rating on Cinemora.",spider_man_into_the_spider_verse.jpg
16,Coco,Animation,2017,8.4,300,9700,105,L. Unkrich,English,"A animation film from 2017, directed by L. Unkrich, exploring bold ideas with a 8.4 rating on Cinemora.",coco.jpg
